"id_contenedor","fecha_registro","num_kg_depositado","num_m3_depositado","num_nivel_llenado","num_aperturas","num_nivel_bateria"
206,2014-03-01 00:00:00,1.900,1.359,66,2.702,78
137,2014-03-01 00:00:00,5.030,1.884,38,1.907,50
138,2014-03-01 00:00:00,4.017,744,26,2.608,9
139,2014-03-01 00:00:00,849,952,18,2.645,97
455,2014-03-01 00:00:00,1.916,2.191,98,594,40
444,2014-03-01 00:00:00,1.861,1.994,24,2.515,29
445,2014-03-01 00:00:00,3.704,965,7,2.177,14
446,2014-03-01 00:00:00,5.248,2.119,35,1.265,68
447,2014-03-01 00:00:00,1.658,751,3,590,55
448,2014-03-01 00:00:00,2.731,340,52,2.324,15
449,2014-03-01 00:00:00,2.636,2.329,74,2.310,67
450,2014-03-01 00:00:00,4.511,1.506,80,1.112,57
456,2014-03-01 00:00:00,5.202,184,17,613,90
457,2014-03-01 00:00:00,4.638,1.343,10,1.280,0
458,2014-03-01 00:00:00,2.764,2.700,6,1.825,60
459,2014-03-01 00:00:00,3.586,2.633,73,1.277,50
460,2014-03-01 00:00:00,985,1.120,52,2.735,95
461,2014-03-01 00:00:00,2.975,2.495,24,1.162,5
462,2014-03-01 00:00:00,2.683,2.607,9,2.121,64
463,2014-03-01 00:00:00,2.450,317,95,964,74
464,2014-03-01 00:00:00,1.103,1.762,33,963,58
465,2014-03-01 00:00:00,3.290,1.686,1,818,88
466,2014-03-01 00:00:00,2.339,397,49,2.135,70
467,2014-03-01 00:00:00,5.042,2.104,14,1.217,27
468,2014-03-01 00:00:00,3.134,2.647,58,1.958,19
469,2014-03-01 00:00:00,4.379,2.262,56,2.285,77
451,2014-03-01 00:00:00,3.594,857,66,403,35
470,2014-03-01 00:00:00,4.807,1.015,40,1.053,19
471,2014-03-01 00:00:00,5.212,600,31,1.670,72
472,2014-03-01 00:00:00,5.283,1.632,87,1.078,58
473,2014-03-01 00:00:00,4.851,704,8,2.031,44
474,2014-03-01 00:00:00,2.553,1.152,96,2.755,12
207,2014-03-01 00:00:00,4.980,422,69,896,21
452,2014-03-01 00:00:00,521,1.763,44,2.263,55
453,2014-03-01 00:00:00,4.599,1.517,61,2.660,17
454,2014-03-01 00:00:00,1.472,1.169,78,2.304,23
441,2014-03-01 00:00:00,1.865,1.233,4,771,13
442,2014-03-01 00:00:00,5.222,2.033,82,1.136,86
443,2014-03-01 00:00:00,2.729,2.831,58,1.694,30
430,2014-03-01 00:00:00,2.743,2.490,59,1.440,82
431,2014-03-01 00:00:00,2.055,2.133,12,1.538,2
432,2014-03-01 00:00:00,2.261,1.404,97,2.693,40
433,2014-03-01 00:00:00,4.818,2.331,92,2.471,51
434,2014-03-01 00:00:00,1.455,300,66,837,56
435,2014-03-01 00:00:00,2.637,1.479,68,1.275,25
436,2014-03-01 00:00:00,601,1.368,46,1.424,83
437,2014-03-01 00:00:00,2.935,1.478,56,488,85
438,2014-03-01 00:00:00,5.135,520,32,81,6
427,2014-03-01 00:00:00,1.110,2.053,66,1.773,21
428,2014-03-01 00:00:00,2.834,2.230,85,1.531,38
429,2014-03-01 00:00:00,2.096,2.541,94,1.981,84
422,2014-03-01 00:00:00,1.566,2.603,87,2.658,34
423,2014-03-01 00:00:00,246,2.092,73,443,42
424,2014-03-01 00:00:00,546,621,24,1.899,74
425,2014-03-01 00:00:00,2.220,946,92,2.000,33
439,2014-03-01 00:00:00,2.466,1.355,37,2.433,63
440,2014-03-01 00:00:00,5.218,2.718,48,2.771,30
419,2014-03-01 00:00:00,3.050,2.758,54,2.233,6
420,2014-03-01 00:00:00,4.321,2.592,37,1.756,8
418,2014-03-01 00:00:00,5.364,2.752,27,2.810,13
417,2014-03-01 00:00:00,2.300,2.906,57,1.425,57
416,2014-03-01 00:00:00,3.655,899,48,982,82
415,2014-03-01 00:00:00,3.126,1.623,71,964,41
414,2014-03-01 00:00:00,3.106,386,50,1.351,87
413,2014-03-01 00:00:00,4.045,2.088,97,1.055,67
412,2014-03-01 00:00:00,441,108,76,2.789,1
411,2014-03-01 00:00:00,1.981,110,22,217,84
410,2014-03-01 00:00:00,5.184,1.997,19,2.697,43
409,2014-03-01 00:00:00,4.479,675,89,1.715,22
421,2014-03-01 00:00:00,4.575,1.842,37,2.301,36
346,2014-03-01 00:00:00,240,1.524,91,2.130,37
426,2014-03-01 00:00:00,948,2.469,90,1.143,4
406,2014-03-01 00:00:00,602,2.152,44,2.720,39
405,2014-03-01 00:00:00,3.989,1.690,20,2.001,87
404,2014-03-01 00:00:00,3.216,407,25,1.152,21
403,2014-03-01 00:00:00,3.128,1.835,30,1.161,86
402,2014-03-01 00:00:00,5.417,296,85,2.831,53
401,2014-03-01 00:00:00,2.793,2.491,89,422,85
400,2014-03-01 00:00:00,2.833,1.000,18,527,59
399,2014-03-01 00:00:00,2.489,1.940,46,2.019,30
398,2014-03-01 00:00:00,3.673,719,83,20,88
397,2014-03-01 00:00:00,2.162,2.033,63,1.159,37
396,2014-03-01 00:00:00,3.218,2.332,81,806,37
395,2014-03-01 00:00:00,2.380,1.192,48,2.340,2
394,2014-03-01 00:00:00,5.062,2.214,5,92,96
393,2014-03-01 00:00:00,1.674,2.746,50,864,5
392,2014-03-01 00:00:00,4.842,869,88,962,94
391,2014-03-01 00:00:00,2.017,448,40,2.448,71
390,2014-03-01 00:00:00,3.968,1.089,93,1.876,52
389,2014-03-01 00:00:00,1.566,438,77,1.929,23
388,2014-03-01 00:00:00,2.492,1.820,19,1.313,90
387,2014-03-01 00:00:00,4.956,2.522,14,719,92
386,2014-03-01 00:00:00,1.259,1.764,61,1.269,59
385,2014-03-01 00:00:00,378,2.837,10,265,25
384,2014-03-01 00:00:00,2.800,516,81,1.804,61
383,2014-03-01 00:00:00,1.344,1.059,97,1.424,36
382,2014-03-01 00:00:00,3.770,2.748,75,1.513,51
381,2014-03-01 00:00:00,2.957,1.281,68,521,85
380,2014-03-01 00:00:00,1.523,869,90,24,84
378,2014-03-01 00:00:00,2.943,309,97,2.489,28
377,2014-03-01 00:00:00,3.258,1.517,85,2.280,20
376,2014-03-01 00:00:00,1.183,350,51,975,3
375,2014-03-01 00:00:00,1.837,1.779,44,1.912,33
374,2014-03-01 00:00:00,4.778,1.373,71,2.346,46
373,2014-03-01 00:00:00,4.069,724,98,556,54
372,2014-03-01 00:00:00,2.740,387,34,894,33
371,2014-03-01 00:00:00,4.156,542,37,31,70
370,2014-03-01 00:00:00,1.992,1.312,99,1.246,0
369,2014-03-01 00:00:00,5.285,110,53,2.339,74
368,2014-03-01 00:00:00,368,654,56,2.056,33
367,2014-03-01 00:00:00,1.635,1.097,58,1.059,15
366,2014-03-01 00:00:00,3.588,2.029,49,1.987,2
365,2014-03-01 00:00:00,399,661,76,563,24
364,2014-03-01 00:00:00,737,2.738,91,1.750,8
363,2014-03-01 00:00:00,2.308,1.154,12,1.689,93
362,2014-03-01 00:00:00,3.114,452,55,753,97
361,2014-03-01 00:00:00,5.166,2.568,53,2.809,74
360,2014-03-01 00:00:00,3.730,2.005,49,1.470,65
359,2014-03-01 00:00:00,576,2.660,82,1.538,9
358,2014-03-01 00:00:00,5.272,922,25,2.795,52
357,2014-03-01 00:00:00,5.399,2.136,6,921,30
356,2014-03-01 00:00:00,4.237,2.685,74,1.976,18
355,2014-03-01 00:00:00,3.493,971,38,1.422,87
354,2014-03-01 00:00:00,5.418,2.764,48,1.326,65
353,2014-03-01 00:00:00,3.197,2.835,42,528,77
352,2014-03-01 00:00:00,437,949,29,2.617,75
351,2014-03-01 00:00:00,2.009,2.429,12,337,47
350,2014-03-01 00:00:00,2.544,2.251,16,1.313,71
349,2014-03-01 00:00:00,3.464,1.228,64,347,78
348,2014-03-01 00:00:00,1.135,1.658,1,1.243,16
335,2014-03-01 00:00:00,2.191,1.021,61,2.930,76
336,2014-03-01 00:00:00,930,2.555,68,201,21
337,2014-03-01 00:00:00,5.255,1.938,39,263,0
338,2014-03-01 00:00:00,2.577,533,14,51,93
339,2014-03-01 00:00:00,5.200,2.709,44,1.466,64
340,2014-03-01 00:00:00,3.677,804,74,1.184,35
341,2014-03-01 00:00:00,1.369,268,10,1.434,10
342,2014-03-01 00:00:00,921,1.645,75,943,91
343,2014-03-01 00:00:00,1.600,240,44,1.306,61
344,2014-03-01 00:00:00,251,292,78,2.826,30
345,2014-03-01 00:00:00,5.110,2.597,41,64,54
347,2014-03-01 00:00:00,1.888,362,5,407,5
379,2014-03-01 00:00:00,4.643,2.881,28,1.282,41
407,2014-03-01 00:00:00,515,365,7,2.063,48
408,2014-03-01 00:00:00,3.299,681,69,2.332,62
512,2014-03-01 00:00:00,2.286,2.678,58,1.162,85
513,2014-03-01 00:00:00,5.384,1.323,10,2.193,98
514,2014-03-01 00:00:00,4.509,937,63,409,55
515,2014-03-01 00:00:00,4.430,2.600,61,1.926,4
516,2014-03-01 00:00:00,1.439,598,47,2.212,79
517,2014-03-01 00:00:00,4.189,1.892,43,1.266,52
518,2014-03-01 00:00:00,3.778,2.549,6,2.684,81
519,2014-03-01 00:00:00,2.596,2.293,87,2.783,73
520,2014-03-01 00:00:00,4.662,672,31,353,67
521,2014-03-01 00:00:00,3.740,1.561,19,2.859,78
522,2014-03-01 00:00:00,2.142,1.978,87,2.788,39
523,2014-03-01 00:00:00,334,2.864,30,81,72
524,2014-03-01 00:00:00,2.890,356,40,813,64
525,2014-03-01 00:00:00,3.357,2.031,42,2.540,77
526,2014-03-01 00:00:00,3.397,862,58,96,98
527,2014-03-01 00:00:00,1.628,571,61,1.289,14
528,2014-03-01 00:00:00,4.691,1.128,35,706,11
529,2014-03-01 00:00:00,3.340,1.808,45,1.710,99
530,2014-03-01 00:00:00,4.092,1.342,63,1.519,96
531,2014-03-01 00:00:00,1.647,2.898,1,790,86
532,2014-03-01 00:00:00,3.695,1.352,22,2.067,76
533,2014-03-01 00:00:00,2.070,2.830,45,35,81
534,2014-03-01 00:00:00,2.059,2.745,83,1.381,98
535,2014-03-01 00:00:00,925,937,18,398,51
536,2014-03-01 00:00:00,2.105,1.111,50,1.026,74
537,2014-03-01 00:00:00,839,769,85,2.602,57
538,2014-03-01 00:00:00,2.347,804,35,520,3
539,2014-03-01 00:00:00,1.064,1.013,59,1.102,41
540,2014-03-01 00:00:00,4.207,1.484,36,1.372,84
541,2014-03-01 00:00:00,5.045,1.544,70,2.236,60
542,2014-03-01 00:00:00,3.586,2.431,12,2.091,1
543,2014-03-01 00:00:00,3.472,541,79,1.269,62
544,2014-03-01 00:00:00,1.098,1.754,69,2.046,61
545,2014-03-01 00:00:00,5.182,653,18,40,5
546,2014-03-01 00:00:00,668,2.524,17,2.304,18
547,2014-03-01 00:00:00,4.147,1.752,21,2.383,26
548,2014-03-01 00:00:00,2.147,1.974,54,846,28
549,2014-03-01 00:00:00,474,1.809,39,2.313,12
550,2014-03-01 00:00:00,885,2.488,23,1.832,29
551,2014-03-01 00:00:00,4.466,526,28,124,0
552,2014-03-01 00:00:00,2.510,2.309,57,1.599,29
553,2014-03-01 00:00:00,451,1.328,99,829,78
475,2014-03-01 00:00:00,5.086,1.237,29,890,85
476,2014-03-01 00:00:00,2.592,1.121,71,2.152,25
477,2014-03-01 00:00:00,3.555,2.827,5,2.252,53
478,2014-03-01 00:00:00,2.966,147,99,1.116,82
479,2014-03-01 00:00:00,1.564,2.639,81,966,3
480,2014-03-01 00:00:00,4.479,620,78,1.366,41
481,2014-03-01 00:00:00,2.069,2.570,9,200,65
482,2014-03-01 00:00:00,4.881,1.911,47,2.464,52
483,2014-03-01 00:00:00,3.669,2.304,34,2.472,83
484,2014-03-01 00:00:00,633,1.685,77,568,6
485,2014-03-01 00:00:00,3.828,319,48,214,44
486,2014-03-01 00:00:00,5.431,1.538,41,546,79
487,2014-03-01 00:00:00,704,1.270,46,633,26
488,2014-03-01 00:00:00,3.072,823,12,31,73
489,2014-03-01 00:00:00,3.269,2.927,62,1.759,33
490,2014-03-01 00:00:00,3.739,2.533,67,2.832,6
491,2014-03-01 00:00:00,823,1.576,72,650,38
492,2014-03-01 00:00:00,599,1.201,84,1.646,50
493,2014-03-01 00:00:00,2.447,2.351,80,2.508,77
494,2014-03-01 00:00:00,1.482,1.126,99,1.978,81
495,2014-03-01 00:00:00,5.175,519,65,1.234,19
496,2014-03-01 00:00:00,2.843,262,23,2.447,11
497,2014-03-01 00:00:00,4.437,1.965,94,2.196,96
498,2014-03-01 00:00:00,4.517,1.118,17,987,96
499,2014-03-01 00:00:00,383,1.184,32,1.889,1
500,2014-03-01 00:00:00,796,2.583,65,234,90
501,2014-03-01 00:00:00,2.319,296,66,1.103,44
502,2014-03-01 00:00:00,5.242,1.696,85,2.817,67
503,2014-03-01 00:00:00,427,2.239,42,2.561,62
504,2014-03-01 00:00:00,4.822,2.423,92,1.219,51
505,2014-03-01 00:00:00,3.057,2.127,45,1.868,27
506,2014-03-01 00:00:00,5.401,2.005,13,703,65
507,2014-03-01 00:00:00,5.406,1.474,15,201,62
508,2014-03-01 00:00:00,4.531,1.637,96,599,53
509,2014-03-01 00:00:00,1.673,2.435,35,1.128,98
510,2014-03-01 00:00:00,4.727,2.585,77,1.009,34
511,2014-03-01 00:00:00,3.927,1.314,61,2.180,24
303,2014-03-01 00:00:00,1.339,1.229,87,1.199,91
304,2014-03-01 00:00:00,755,2.101,26,935,97
305,2014-03-01 00:00:00,808,1.493,23,1.428,45
306,2014-03-01 00:00:00,514,2.096,78,1.128,63
307,2014-03-01 00:00:00,661,1.774,68,655,30
308,2014-03-01 00:00:00,1.020,1.021,79,755,37
309,2014-03-01 00:00:00,1.101,2.719,52,2.042,7
310,2014-03-01 00:00:00,3.341,1.901,10,2.576,3
311,2014-03-01 00:00:00,2.951,1.104,46,2.304,82
312,2014-03-01 00:00:00,1.626,2.019,3,420,75
313,2014-03-01 00:00:00,3.265,2.565,91,1.493,19
314,2014-03-01 00:00:00,3.297,2.063,65,1.322,13
315,2014-03-01 00:00:00,1.976,2.220,59,841,27
316,2014-03-01 00:00:00,3.958,2.144,50,1.396,18
317,2014-03-01 00:00:00,3.675,228,61,1.722,34
318,2014-03-01 00:00:00,552,2.122,19,1.714,2
319,2014-03-01 00:00:00,2.138,1.567,7,2.233,91
320,2014-03-01 00:00:00,585,1.560,81,1.727,98
321,2014-03-01 00:00:00,1.200,2.619,17,2.582,66
322,2014-03-01 00:00:00,4.721,2.038,57,1.860,23
323,2014-03-01 00:00:00,3.681,1.846,38,2.357,43
324,2014-03-01 00:00:00,5.150,362,39,1.126,76
325,2014-03-01 00:00:00,2.993,1.552,75,2.117,32
326,2014-03-01 00:00:00,4.689,2.540,18,2.396,12
327,2014-03-01 00:00:00,3.177,907,73,2.434,80
328,2014-03-01 00:00:00,4.790,1.467,9,2.500,99
329,2014-03-01 00:00:00,4.305,2.211,53,858,93
330,2014-03-01 00:00:00,4.416,2.912,6,1.090,29
331,2014-03-01 00:00:00,3.987,558,60,2.632,13
332,2014-03-01 00:00:00,5.253,346,82,2.506,79
333,2014-03-01 00:00:00,1.400,1.243,32,328,18
334,2014-03-01 00:00:00,1.673,2.381,86,1.907,88
66,2014-03-01 00:00:00,2.331,1.922,42,2.877,59
98,2014-03-01 00:00:00,2.615,1.296,4,612,73
97,2014-03-01 00:00:00,3.228,2.713,3,1.991,24
96,2014-03-01 00:00:00,575,2.514,28,2.713,50
95,2014-03-01 00:00:00,4.760,2.121,75,954,96
94,2014-03-01 00:00:00,1.053,100,30,874,49
93,2014-03-01 00:00:00,4.086,640,92,163,51
92,2014-03-01 00:00:00,687,564,27,1.706,20
91,2014-03-01 00:00:00,2.686,1.998,34,2.606,24
132,2014-03-01 00:00:00,138,2.510,36,2.692,49
89,2014-03-01 00:00:00,3.200,2.654,49,142,12
88,2014-03-01 00:00:00,5.062,2.931,74,1.008,12
87,2014-03-01 00:00:00,4.283,1.759,77,206,85
86,2014-03-01 00:00:00,3.824,2.574,80,339,40
85,2014-03-01 00:00:00,4.909,2.529,67,2.482,69
84,2014-03-01 00:00:00,2.086,918,7,129,59
83,2014-03-01 00:00:00,3.452,107,86,1.874,27
82,2014-03-01 00:00:00,5.127,2.652,48,733,89
81,2014-03-01 00:00:00,3.441,1.725,23,579,89
80,2014-03-01 00:00:00,4.483,534,6,829,29
79,2014-03-01 00:00:00,3.522,687,44,1.579,83
78,2014-03-01 00:00:00,5.013,2.812,43,1.645,36
77,2014-03-01 00:00:00,5.257,380,75,2.324,82
76,2014-03-01 00:00:00,432,406,43,547,26
75,2014-03-01 00:00:00,2.999,1.588,22,894,23
74,2014-03-01 00:00:00,1.599,2.454,94,2.382,23
73,2014-03-01 00:00:00,5.048,962,1,1.105,71
72,2014-03-01 00:00:00,4.100,938,38,635,24
71,2014-03-01 00:00:00,3.476,1.134,53,101,78
70,2014-03-01 00:00:00,3.261,1.893,10,1.805,17
69,2014-03-01 00:00:00,2.124,2.696,51,2.697,70
68,2014-03-01 00:00:00,2.405,823,11,2.327,27
67,2014-03-01 00:00:00,503,854,84,1.247,81
90,2014-03-01 00:00:00,4.432,1.696,3,958,1
131,2014-03-01 00:00:00,1.415,1.016,0,1.736,76
130,2014-03-01 00:00:00,3.737,1.239,32,592,38
129,2014-03-01 00:00:00,1.720,2.768,84,2.739,97
128,2014-03-01 00:00:00,3.894,1.864,32,861,12
127,2014-03-01 00:00:00,2.216,1.977,2,1.509,0
126,2014-03-01 00:00:00,898,1.525,32,2.656,60
125,2014-03-01 00:00:00,1.017,825,15,594,83
124,2014-03-01 00:00:00,1.080,1.427,34,1.503,15
123,2014-03-01 00:00:00,4.715,2.585,94,228,26
122,2014-03-01 00:00:00,2.799,167,42,559,42
121,2014-03-01 00:00:00,222,858,27,2.335,18
120,2014-03-01 00:00:00,1.475,351,26,1.566,24
119,2014-03-01 00:00:00,920,1.085,92,976,39
118,2014-03-01 00:00:00,4.398,905,44,1.435,70
117,2014-03-01 00:00:00,877,2.479,4,2.812,12
116,2014-03-01 00:00:00,5.128,1.118,54,2.080,31
115,2014-03-01 00:00:00,1.508,1.032,75,476,56
114,2014-03-01 00:00:00,2.870,2.594,69,1.723,69
113,2014-03-01 00:00:00,3.361,2.808,64,765,91
112,2014-03-01 00:00:00,2.421,2.800,87,1.726,13
111,2014-03-01 00:00:00,1.526,2.271,5,391,51
110,2014-03-01 00:00:00,1.948,2.448,61,743,86
109,2014-03-01 00:00:00,3.336,2.054,53,584,32
108,2014-03-01 00:00:00,4.860,1.267,61,1.286,23
107,2014-03-01 00:00:00,5.028,489,45,1.610,21
106,2014-03-01 00:00:00,1.586,1.112,49,1.581,23
105,2014-03-01 00:00:00,4.966,2.485,94,1.446,85
104,2014-03-01 00:00:00,131,1.604,43,1.563,61
103,2014-03-01 00:00:00,256,2.217,99,2.573,0
102,2014-03-01 00:00:00,2.580,631,0,1.322,73
101,2014-03-01 00:00:00,1.575,1.560,12,797,2
100,2014-03-01 00:00:00,2.414,1.441,38,2.831,0
99,2014-03-01 00:00:00,4.403,1.227,89,2.150,99
135,2014-03-01 00:00:00,1.959,1.706,92,400,28
134,2014-03-01 00:00:00,4.294,1.230,23,1.692,51
133,2014-03-01 00:00:00,4.723,1.010,97,967,47
